iter	Passed	Remaining
0	152	152622
1	153	76675
2	154	51309
3	155	38629
4	155	31010
5	156	25924
6	157	22296
7	157	19568
8	158	17444
9	159	15746
10	159	14353
11	160	13202
12	161	12232
13	161	11393
14	162	10668
15	163	10028
16	163	9477
17	165	9005
18	165	8565
19	166	8156
20	167	7791
21	167	7460
22	168	7161
23	169	6886
24	170	6635
25	170	6401
26	171	6184
27	172	5987
28	173	5800
29	174	5629
30	174	5467
31	175	5318
32	176	5176
33	177	5040
34	178	4913
35	179	4802
36	180	4686
37	180	4580
38	181	4476
39	182	4376
40	183	4282
41	183	4195
42	184	4116
43	185	4037
44	186	3959
45	187	3886
46	188	3818
47	189	3749
48	189	3684
49	190	3620
50	191	3563
51	192	3505
52	193	3451
53	194	3399
54	194	3348
55	195	3299
56	196	3249
57	197	3203
58	198	3158
59	198	3115
60	199	3074
61	200	3036
62	201	2995
63	202	2955
64	202	2916
65	203	2879
66	204	2845
67	205	2811
68	206	2780
69	206	2746
70	207	2714
71	208	2684
72	209	2655
73	210	2628
74	210	2601
75	211	2574
76	212	2549
77	213	2522
78	214	2498
79	214	2472
80	215	2448
81	216	2425
82	217	2397
83	217	2375
84	218	2353
85	219	2332
86	220	2313
87	221	2293
88	222	2274
89	222	2254
90	223	2237
91	224	2219
92	225	2200
93	226	2182
94	227	2164
95	228	2147
96	228	2129
97	229	2112
98	230	2095
99	231	2079
100	231	2064
101	232	2049
102	233	2034
103	234	2020
104	235	2006
105	236	1991
106	237	1978
107	237	1963
108	238	1950
109	239	1937
110	240	1923
111	240	1910
112	241	1898
113	242	1885
114	243	1873
115	244	1861
116	244	1847
117	245	1836
118	246	1824
119	247	1813
120	248	1802
121	248	1790
122	249	1779
123	250	1768
124	251	1757
125	251	1747
126	252	1736
127	253	1727
128	254	1717
129	255	1707
130	255	1697
131	256	1688
132	257	1678
133	258	1669
134	259	1660
135	259	1650
136	260	1641
137	261	1632
138	262	1623
139	262	1615
140	263	1606
141	264	1596
142	264	1587
143	265	1578
144	266	1570
145	267	1562
146	268	1555
147	268	1547
148	269	1540
149	270	1533
150	271	1525
151	272	1518
152	272	1511
153	273	1503
154	274	1496
155	275	1489
156	276	1483
157	277	1476
158	278	1470
159	278	1463
160	279	1455
161	280	1449
162	280	1442
163	281	1437
164	282	1430
165	283	1424
166	284	1418
167	285	1412
168	286	1406
169	286	1400
170	287	1394
171	288	1388
172	289	1382
173	290	1377
174	290	1371
